%PORTABLE_PROF_ASCN_SYSTEM%
%DATE%2018-11-13
%USER%Аспидов РП;106
%USER%Новиков ИГ;107
%USER%Рещиков АВ;133
%USER%Трофимов ВВ;135
%USER%Кузин КГ;295
%USER%Безяев СН;309
%USER%Максягин АЮ;430
%USER%Семенютин ИВ;689
%USER%Пономарёв СВ;713
%USER%Кузнецов АМ;715
%USER%Устинский ДВ;740
%USER%Боголюбов АН;790
%USER%Казорин АА;794
%USER%Бочаров ДА;1081
%USER%Мурашов АА;1108
%USER%Голомазов АВ;1175
%USER%Закотский АС;1194
%USER%Караханов АР;1200
%USER%Казаков ИЮ;1245
%USER%Тимаков ДМ;1269
%USER%Рыжков РА;1275
%USER%_Кудрявцев АБ;1294
%USER%Егоркин НД;1301
%USER%Курнасенков АВ;1353
%USER%Скакун ВН;1367
%DATA%1-84/14399;200698;0;7376;ООО "Юлплейс";34192;Юлмарт;6069;г. Коломна, ул Гражданская, д.2;1275;Рыжков РА;2018-11-07;2999-12-31;2999-12-31;2999-12-31;56;Штрих-М-01 Ф;0108530006049482;;;1448;7376;1;0056-0108530006049482;;;Ильина ЕГ
%DATA%1-84/14428;200711;0;7376;ООО "Юлплейс";34249;Юлмарт;22932;г. Шатура, пр-т Ильича, д.30;1275;Рыжков РА;2018-11-07;2999-12-31;2999-12-31;2999-12-31;56;Штрих-М-01 Ф;0123690006049522;;;1448;7376;1;0056-0123690006049522;;;Ильина ЕГ
%DATA%1-84/14375;200762;1;2085;АО "Торговый дом "ПЕРЕКРЕСТОК";7348;м-н "Перекресток" Богородский;6128;г. Ногинск, ул III Интернационала, д.62;1275;Рыжков РА;2018-11-07;2999-12-31;2018-11-30;2999-12-31;661;DIGI SM-100;000000000172481;;;138;2085;0;0661-000000000172481;;;Беловолова ЮМ
%DATA%1-84/14375;200762;1;2085;АО "Торговый дом "ПЕРЕКРЕСТОК";7348;м-н "Перекресток" Богородский;6128;г. Ногинск, ул III Интернационала, д.62;1275;Рыжков РА;2018-11-07;2999-12-31;2018-11-30;2999-12-31;661;DIGI SM-100;000000000172482;;;138;2085;0;0661-000000000172482;;;Беловолова ЮМ
